s1,s2,rate,sel,arrow_color,box_color,dashed_arrow,direction
Glc,All,8696.595466168013, 19.41682188288102,19,13,False,both
Glc,Gal,2669.8514888247096, -1.0259999159948268,12,13,False,both
Glc,Man,1700.4648769001128, -3.4503655195119873,12,13,False,both
All,Gul,2272.2408829053693, -21.535708164494086,19,13,False,both
Gul,Gal,9879.277501320068, 2.042525719539408,12,13,False,both
Gal,Tal,1921.3481285089338, 21.44995804709182,4,13,False,both
Tal,Man,3435.4755863963533, -21.71316524913186,4,13,False,both
Man,Alt,8167.951419620186, -1.9331817271119984,12,13,False,both
Alt,All,2251.332181358157, 21.505092729010048,19,13,False,both
Alt,Ido,2243.2621555496744, -1.016210302510667,13,15,False,both
Tal,Ido,3312.9198527517797, -21.611499469946136,7,15,False,both
Ido,Gul,999.9938237781865, 10.614793727460544,13,15,False,both

